global_rank,file_name,color_rank,hue
64,fish_0089.png,3,0.10828025477707008
65,fish_0044.png,2,0.10833333333333332
66,fish_0105.png,3,0.10858585858585858
67,fish_0053.png,1,0.10869565217391304
68,fish_0021.png,1,0.10923423423423424
69,fish_0106.png,1,0.10984848484848482
70,fish_0031.png,3,0.10999999999999997
71,fish_0123.png,1,0.11025641025641027
72,fish_0008.png,1,0.11044176706827308
73,fish_0127.png,2,0.11111111111111109
74,fish_0030.png,3,0.11111111111111112
75,fish_0080.png,1,0.11274509803921569
76,fish_0061.png,1,0.1130952380952381
77,fish_0076.png,3,0.11375661375661372
78,fish_0038.png,1,0.11437908496732026
79,fish_0091.png,1,0.11442786069651743
80,fish_0123.png,2,0.11494252873563217
81,fish_0100.png,1,0.11594202898550725
82,fish_0073.png,1,0.11601307189542483
83,fish_0058.png,3,0.11643835616438354
84,fish_0049.png,2,0.11666666666666665
85,fish_0039.png,3,0.11666666666666668
86,fish_0087.png,2,0.11698717948717952
87,fish_0121.png,3,0.11728395061728396
88,fish_0045.png,1,0.11737089201877932
89,fish_0028.png,1,0.11742424242424243
90,fish_0100.png,2,0.11775362318840582
91,fish_0076.png,1,0.11904761904761905
92,fish_0012.png,2,0.11904761904761905
93,fish_0046.png,1,0.1192528735632184
94,fish_0034.png,2,0.11979166666666669
95,fish_0016.png,2,0.12
96,fish_0058.png,2,0.12000000000000004
97,fish_0081.png,1,0.12021857923497266
98,fish_0101.png,1,0.12037037037037036
99,fish_0034.png,3,0.12048192771084337
100,fish_0093.png,1,0.12048192771084337
101,fish_0044.png,3,0.12077294685990338
102,fish_0071.png,2,0.12189054726368159
103,fish_0121.png,1,0.12222222222222223
104,fish_0104.png,1,0.1224188790560472
105,fish_0087.png,1,0.12254901960784315
106,fish_0017.png,2,0.12301587301587302
107,fish_0112.png,1,0.1232876712328767
108,fish_0118.png,3,0.1233140655105973
109,fish_0012.png,1,0.1235632183908046
110,fish_0003.png,2,0.12499999999999999
111,fish_0041.png,1,0.12499999999999999
112,fish_0081.png,2,0.125
113,fish_0025.png,1,0.125
114,fish_0118.png,1,0.125
115,fish_0102.png,1,0.125
116,fish_0124.png,2,0.1254295532646048
117,fish_0034.png,1,0.12549019607843137
118,fish_0099.png,1,0.12550200803212852
119,fish_0011.png,2,0.12595419847328246
120,fish_0126.png,1,0.12626262626262627
121,fish_0018.png,1,0.12719298245614036
122,fish_0109.png,2,0.12777777777777777
123,fish_0036.png,1,0.12785388127853878
124,fish_0083.png,3,0.12820512820512817
125,fish_0017.png,1,0.1282051282051282
126,fish_0085.png,3,0.12872628726287264
127,fish_0107.png,2,0.1287878787878787
128,fish_0106.png,2,0.12907268170426064
129,fish_0003.png,1,0.1293103448275862
130,fish_0075.png,1,0.1298076923076923
131,fish_0062.png,1,0.13008130081300812
132,fish_0105.png,2,0.13008130081300814
133,fish_0107.png,1,0.13020833333333331
134,fish_0118.png,2,0.13020833333333331
135,fish_0092.png,1,0.13020833333333331
136,fish_0057.png,1,0.13043478260869565
137,fish_0006.png,1,0.13063063063063063
138,fish_0063.png,1,0.13071895424836602
139,fish_0047.png,2,0.132183908045977
140,fish_0015.png,2,0.1323529411764706
141,fish_0002.png,1,0.13333333333333333
142,fish_0051.png,2,0.13333333333333333
143,fish_0056.png,1,0.13333333333333333
144,fish_0112.png,2,0.13333333333333333
145,fish_0070.png,1,0.13446969696969693
146,fish_0074.png,3,0.13455657492354742
147,fish_0103.png,2,0.13541666666666666
148,fish_0070.png,2,0.13541666666666666
149,fish_0125.png,1,0.13553113553113552
150,fish_0075.png,2,0.13636363636363638
151,fish_0042.png,1,0.13749999999999998
152,fish_0105.png,1,0.1375
153,fish_0073.png,2,0.13768115942028986
154,fish_0108.png,2,0.1388888888888889
155,fish_0114.png,1,0.1388888888888889
156,fish_0102.png,2,0.1416666666666667
157,fish_0027.png,1,0.14285714285714288
158,fish_0037.png,1,0.14316239316239315
159,fish_0082.png,3,0.1431924882629108
160,fish_0127.png,3,0.14367816091954022
161,fish_0051.png,3,0.14404761904761906
162,fish_0081.png,3,0.14545454545454545
163,fish_0046.png,2,0.14583333333333331
164,fish_0051.png,1,0.14583333333333334
165,fish_0082.png,1,0.14583333333333334
166,fish_0111.png,2,0.14779874213836477
167,fish_0055.png,3,0.1481481481481481
168,fish_0028.png,2,0.14880952380952378
169,fish_0033.png,2,0.14950980392156865
170,fish_0068.png,2,0.15185185185185185
171,fish_0110.png,1,0.15277777777777776
172,fish_0032.png,2,0.1540880503144654
173,fish_0059.png,3,0.15476190476190474
174,fish_0008.png,2,0.15476190476190474
175,fish_0062.png,2,0.1568627450980392
176,fish_0025.png,2,0.15705128205128205
177,fish_0095.png,2,0.15714285714285717
178,fish_0086.png,1,0.15740740740740738
179,fish_0072.png,2,0.15804597701149423
180,fish_0104.png,2,0.1587301587301587
181,fish_0014.png,2,0.15873015873015875
182,fish_0015.png,1,0.16000000000000003
183,fish_0007.png,2,0.16091954022988508
184,fish_0122.png,1,0.1616161616161616
185,fish_0007.png,1,0.16228070175438594
186,fish_0027.png,2,0.1626016260162602
187,fish_0023.png,2,0.16666666666666666
188,fish_0079.png,1,0.16666666666666666
189,fish_0075.png,3,0.16666666666666666
190,fish_0097.png,1,0.16666666666666666
191,fish_0107.png,3,0.16666666666666666
192,fish_0110.png,2,0.16666666666666666
193,fish_0079.png,2,0.16666666666666666
194,fish_0013.png,3,0.16666666666666666
195,fish_0101.png,2,0.16666666666666666
196,fish_0053.png,2,0.16666666666666666
197,fish_0083.png,1,0.16666666666666666
198,fish_0043.png,2,0.17073170731707318
199,fish_0037.png,2,0.17204301075268816
200,fish_0080.png,2,0.17391304347826084
201,fish_0059.png,1,0.17479674796747968
202,fish_0056.png,2,0.17479674796747968
203,fish_0094.png,2,0.1759259259259259
204,fish_0096.png,2,0.1759259259259259
205,fish_0078.png,2,0.17647058823529407
206,fish_0011.png,1,0.17647058823529416
207,fish_0085.png,1,0.17708333333333334
208,fish_0056.png,3,0.17922374429223745
209,fish_0078.png,1,0.17948717948717952
210,fish_0119.png,2,0.18229166666666666
211,fish_0094.png,1,0.1839080459770115
212,fish_0119.png,1,0.18434343434343434
213,fish_0120.png,1,0.1858974358974359
214,fish_0125.png,2,0.18888888888888888
215,fish_0095.png,3,0.18939393939393953
216,fish_0032.png,1,0.19017094017094016
217,fish_0071.png,1,0.19270833333333334
218,fish_0120.png,3,0.19345238095238093
219,fish_0045.png,2,0.19444444444444442
220,fish_0120.png,2,0.19491525423728814
221,fish_0023.png,1,0.19540229885057472
222,fish_0079.png,3,0.19753086419753077
223,fish_0063.png,3,0.19791666666666666
224,fish_0040.png,2,0.19841269841269837
225,fish_0128.png,1,0.19999999999999996
226,fish_0095.png,1,0.20138888888888884
227,fish_0122.png,2,0.20164609053497942
228,fish_0111.png,3,0.20512820512820515
229,fish_0047.png,1,0.20833333333333334
230,fish_0084.png,2,0.21212121212121215
231,fish_0053.png,3,0.21428571428571427
232,fish_0097.png,2,0.21428571428571433
233,fish_0111.png,1,0.21794871794871792
234,fish_0084.png,1,0.22222222222222224
235,fish_0005.png,3,0.22549019607843138
236,fish_0026.png,3,0.22592592592592595
237,fish_0072.png,1,0.2261904761904762
238,fish_0006.png,2,0.22916666666666666
239,fish_0050.png,2,0.23163841807909602
240,fish_0109.png,1,0.2333333333333334
241,fish_0119.png,3,0.23976608187134504
242,fish_0042.png,2,0.24074074074074078
243,fish_0009.png,1,0.24404761904761907
244,fish_0092.png,2,0.25
245,fish_0126.png,2,0.25000000000000017
246,fish_0110.png,3,0.2539682539682539
247,fish_0026.png,2,0.2546296296296296
248,fish_0048.png,1,0.25925925925925924
249,fish_0074.png,1,0.26190476190476186
250,fish_0052.png,3,0.26333333333333336
251,fish_0083.png,2,0.2638888888888889
252,fish_0050.png,1,0.2647058823529412
253,fish_0098.png,1,0.26666666666666666
254,fish_0011.png,3,0.27222222222222214
255,fish_0040.png,1,0.27777777777777773
256,fish_0060.png,1,0.27777777777777773
257,fish_0026.png,1,0.28160919540229884
258,fish_0009.png,2,0.2898550724637681
259,fish_0054.png,1,0.2916666666666667
260,fish_0115.png,1,0.2916666666666668
261,fish_0009.png,3,0.29317269076305225
262,fish_0124.png,1,0.2954545454545454
263,fish_0005.png,2,0.2954545454545454
264,fish_0043.png,1,0.2962962962962963
265,fish_0112.png,3,0.2988505747126437
266,fish_0032.png,3,0.29924242424242425
267,fish_0002.png,2,0.3000000000000001
268,fish_0052.png,2,0.30434782608695654
269,fish_0029.png,1,0.3055555555555556
270,fish_0073.png,3,0.3137254901960785
271,fish_0062.png,3,0.31395348837209297
272,fish_0031.png,1,0.3181818181818182
273,fish_0103.png,3,0.3225806451612903
274,fish_0016.png,1,0.3333333333333333
275,fish_0067.png,3,0.34259259259259256
